screen_name	created_at	text	location	followers_count
yourtvnorthbay	2021-02-08 17:56:09	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/chmuMjZPJL"	North Bay, Ontario	2681
HappyChichester	2021-02-08 17:54:42	"@RepHagedorn @HouseGOP Trump called COVID19 “their new hoax”

Surpassing 450,000 COVID19 deaths in the US, Trump incited violence, provoked civil war, looted government, &amp; left us with $7 trillion in new debt &amp; the worst unemployment since the Great Depression.

source: NBC News
https://t.co/oHYAuZpmKG"	Columbus, Ohio	4770
HappyChichester	2021-02-08 17:52:34	"@cbs11jack @JohnCornyn @CBSDFW They use disinformation.

Threats &amp; violence.

They wrecked the economy, Trump called COVID19 “their new hoax,” &amp; USA has the worst COVID19 outbreak in the world.

The collapsing Republican Party is the crisis.

https://t.co/9CmwP4V35E"	Columbus, Ohio	4770
HappyChichester	2021-02-08 17:53:52	"@RepMcCaul @HouseGOP They use disinformation.

Threats &amp; violence.

They wrecked the economy, Trump called COVID19 “their new hoax,” &amp; USA has the worst COVID19 outbreak in the world.

The collapsing Republican Party is the preventable disaster.

https://t.co/9CmwP4V35E"	Columbus, Ohio	4770
HappyChichester	2021-02-08 17:56:07	"@RepDrewFerguson @HouseGOP Preventable deaths from COVID19 are estimated to be in the hundreds of thousands.

The collapsing Republican Party is a preventable catastrophic disaster. https://t.co/o26fdYQGP3"	Columbus, Ohio	4770
serrano_ak	2021-02-08 17:56:05	@GavinNewsom @CAgovernor the ASES daily rate per child is $8.88. As a result of #COVID19, programs are running longer hrs to meet the needs of vulnerable communities. We must do more to sustainably address #equity for students &amp; staff. #COLA #CABudget #CALeg #CaAfterschoolWorks	""	0
SPHPnews	2021-02-08 17:56:05	#MaskUp to slow the spread of #COVID19 and show others you care. Masks, frequent hand washing and physical distancing are the best way to slow the spread. #MaskUp100Days #SPHP https://t.co/Dq1nAKKC7P	Albany, NY	534
yourtvnland	2021-02-08 17:56:04	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/WznJ7USAiv"	Cobourg, Ontario	718
yourtvnland	2021-02-08 17:45:03	Tune in and watch #queensparkreport with @davidpiccini as he discusses #covid19 and what is happening in #provincialpolitics on channel 700. #yourtv #yourtvnland #trulylocal #Covid19 #queenspark https://t.co/OEcQ8mzaTz	Cobourg, Ontario	718
DynaMed_EBSCO	2021-02-08 17:56:04	"Pfizer #COVIDvaccine authorized for use in Australia and New Zealand. Find #vaccine authorizations and administration considerations in DynaMed. https://t.co/7XTnr88bC9 
#COVID19 https://t.co/PYiVEk4Lbx"	Ipswich, MA	3444
timgheys	2021-02-08 17:56:02	@helloitskolo Usually our projects start in the panic phase. Especially the covid19 related ones (no time).	Belgium	17
KvanOosterom	2021-02-08 17:55:59	"During lockdown https://t.co/glM12TFzky continues to create great art. 
Visit her special #Covid19 art page here: https://t.co/DkdOlWSMT9 https://t.co/8kalJfs5Qh"	London, England	29853
yourtvniagara	2021-02-08 17:55:59	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/bJfyxztGrm"	Niagara Falls, Ontario	3663
MyTexasAllergy	2021-02-08 17:55:58	"Haven’t gotten the vaccine <U+0001F489>? 

<U+27A1><U+FE0F> If you feel uncertainness, it is best to reach out to your provider to consult you before getting the vaccine. 

#Covid19 #Allergies #TexasAllergy https://t.co/hTnU7Xp10r"	Mesquite, TX	15
BiaDupin	2021-02-08 17:55:57	@noalpha_allbeta With All the Negative Reporting on the Media, folks are missing the larger point.  1. 13% of USA pop has received at least 1 #COVID19 shot.  2. Despite the Snow Storms,  between 1.5 to 2 million peeps get a shot every day...do the math. https://t.co/OaGrepgCk2	NY Metro	70
leaannmallett	2021-02-08 17:55:54	Ontario workers and the health of our community depends upon paid sick leave! @FordNation, return paid sick leave to these workers so they do not have to go to work sick to put food on the table! #ontpoli #onpoli #OntarioCOVID #covid19 #ontariolockdown #Ontario #paidsickleave https://t.co/SW8bjMAQgT	Toronto, Ontario, Canada	653
SquibbmeisterUK	2021-02-08 17:55:46	"2/2 between 01 Jan 2019 &amp; now shows no donations by company or individuals from within Surescreen Diagnostics or the parent Surescreen Holdings.
Wonders will never cease… a departure from #ToryCorruption perhaps? #ToryCovidCatastrophe #BorisJohnsonCostsLives #COVID19"	‘ Guzz’ — Land of Make Believe	201
yourtvmuskoka	2021-02-08 17:55:41	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/pu6icSS3vI"	Muskoka, Ontario	2838
beajayemac	2021-02-08 17:55:40	The rate at which hospital admission for #covid19 have been falling seems to have slowed down. https://t.co/fHCI7psevc	Britain	1307
ignis_fatum	2021-02-08 17:55:40	"Just got the 1st component of the Phizer/Biontech #COVID19 vaccine. My appointment was scheduled for tomorrow, but my husband had his today so I came with him and they gave me the shot anyway. 
The whole procedure lasted less then 5 minutes. 
#Israel https://t.co/0uknuZOr8f"	Rosh Ha’Ayin, Israel	5608
walterolson	2021-02-08 17:55:39	When someone wants to warn you about a potential #COVID19 exposure, but can't because of federal privacy law. My new @CatoInstitute post: https://t.co/sitdDP0pVZ	Washington DC; New Market, MD	25617
Robert_Gniadeck	2021-02-08 17:55:38	"We have seen a decrease in referrals for severe #psoriasis over the last year. Patients should be reassured that #biologics are safe and that they should get the therapies they need and deserve. #COVID19 @dermualberta 
https://t.co/YdKfRslZuf"	""	131
yourtvkingston	2021-02-08 17:55:35	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/2tDkzLqxIH"	Kingston, Ontario	3251
sadinsteve	2021-02-08 17:55:31	@NorthwesternMed, @AdvocateAurora make effort to vaccinate folks from highly impacted areas against #COVID19. See Lake County @newssun for full story and more. https://t.co/AONX4taeoT	Highland Park, Illinois	765
yourtvhalton	2021-02-08 17:55:30	"National update on #COVID19 in Canada. 
 
Confirmed Cases: 804,260
Cases today: 3,203
Active Cases: 44,727 (-984)
Deaths: 20,767 (+65)
Recovered: 738,766 (+4,122)
Tests performed: 109.982

https://t.co/VajuSRhDtz"	Halton, Ontario	3404
HealthFeedback	2021-02-08 17:55:29	"Several sites, including Breitbart, misrepresented a WHO Information Notice to claim it changed testing criteria for the #COVID19 PCR test.
Following our feedback, Breitbart has corrected their article to remove the inaccurate claim

Read more:
https://t.co/Isk9YbxFmv"	""	1017
